evaluation_id,evaluated_at,date,ticker,entry_price,latest_price,ticker_return_pct,spy_return_pct,alpha_return_pct,learning_reward,score,recommendation_confidence,regime
2026-06-03:AVGO:1,2026-06-04T12:42:50.073422+00:00,2026-06-03,AVGO,481.5700073242188,479.2300109863281,-0.48590989935036744,0.0,-0.48590989935036744,-0.048590989935036744,59.34625381994174,78.9199950239531,RISK_ON
2026-06-03:FCX:2,2026-06-04T12:42:50.489718+00:00,2026-06-03,FCX,71.72000122070312,70.63999938964844,-1.5058586345128577,0.0,-1.5058586345128577,-0.15058586345128577,59.73841454756624,78.32981577155077,RISK_ON
2026-06-03:CIEN:3,2026-06-04T12:42:50.734754+00:00,2026-06-03,CIEN,627.0,620.3699951171875,-1.0574170467005595,0.0,-1.0574170467005595,-0.10574170467005595,60.08605499463911,77.83009352307447,RISK_ON
2026-06-03:ADI:4,2026-06-04T12:42:51.088973+00:00,2026-06-03,ADI,423.2000122070313,437.6700134277344,3.419187335378493,0.0,3.419187335378493,0.3419187335378493,57.345098781284186,76.02343144315684,RISK_ON
2026-06-03:NVDA:5,2026-06-04T12:42:51.404299+00:00,2026-06-03,NVDA,222.82000732421875,214.75,-3.621760640406191,0.0,-3.621760640406191,-0.3621760640406191,64.4163012885874,74.80848627372113,RISK_ON
2026-06-03:AMD:6,2026-06-04T12:42:51.646113+00:00,2026-06-03,AMD,521.5399780273438,542.52001953125,4.022710125359996,0.0,4.022710125359996,0.4022710125359996,57.68275067749483,73.60388562892305,RISK_ON
2026-06-03:AAPL:7,2026-06-04T12:42:52.018314+00:00,2026-06-03,AAPL,315.20001220703125,310.260009765625,-1.5672595971098935,0.0,-1.5672595971098935,-0.15672595971098935,63.27304743683082,71.8732747030004,RISK_ON
2026-06-03:VLO:8,2026-06-04T12:42:52.380744+00:00,2026-06-03,VLO,258.260009765625,261.45001220703125,1.235190242694273,0.0,1.235190242694273,0.12351902426942729,61.43164475044876,71.70127960192788,RISK_ON
2026-06-03:AMAT:9,2026-06-04T12:42:52.640874+00:00,2026-06-03,AMAT,490.0499877929688,500.7699890136719,2.1875321880901577,0.0,2.1875321880901577,0.21875321880901577,62.27440258845351,70.96948149536502,RISK_ON
2026-06-03:TER:10,2026-06-04T12:42:52.953290+00:00,2026-06-03,TER,392.6199951171875,409.6700134277344,4.342626081857559,0.0,4.342626081857559,0.4342626081857559,62.73882887443168,70.96216931741841,RISK_ON
2026-06-03:CSCO:11,2026-06-04T12:42:53.244859+00:00,2026-06-03,CSCO,128.0,126.5,-1.171875,0.0,-1.171875,-0.1171875,63.437170527589295,68.68211351622607,RISK_ON
2026-06-03:GLW:12,2026-06-04T12:42:53.628626+00:00,2026-06-03,GLW,200.3999938964844,200.75999450683594,0.17964102860077436,0.0,0.17964102860077436,0.017964102860077436,63.26168034109787,68.49262105040813,RISK_ON
